x,rho,E,F,T
0.415,1,0.010267,0.0102659,0.056234
0.417,1,0.00248505,0.00248478,0.056234
0.419,1,0,0,0.056234
0.421,1,0,0,0.056234
0.423,1,0,0,0.056234
0.425,1,0,0,0.056234
0.427,1,0,0,0.056234
0.429,1,0,0,0.056234
0.431,1,0,0,0.056234
0.433,1,0,0,0.056234
0.435,1,0,0,0.056234
0.437,1,0,0,0.056234
0.439,1,0,0,0.056234
0.441,1,0,0,0.056234
0.443,1,0,0,0.056234
0.445,1,0,0,0.056234
0.447,1,0,0,0.056234
0.449,1,0,0,0.056234
0.451,1,0,0,0.056234
0.453,1,0,0,0.056234
0.455,1,0,0,0.056234
0.457,1,0,0,0.056234
0.459,1,0,0,0.056234
0.461,1,0,0,0.056234
0.463,1,0,0,0.056234
0.465,1,0,0,0.056234
0.467,1,0,0,0.056234
0.469,1,0,0,0.056234
0.471,1,0,0,0.056234
0.473,1,0,0,0.056234
0.475,1,0,0,0.056234
0.477,1,0,0,0.056234
0.479,1.00001,0,0,0.056234
0.481,1.00002,0,0,0.056234
0.483,1.00005,0,0,0.056234
0.485,1.00013,0,0,0.056234
0.487,1.00034,0,0,0.056234
0.489,1.00083,0,0,0.056234
0.491,1.00199,0,0,0.056234
0.493,1.00456,0,0,0.056234
0.495,1.01004,0,0,0.056234
0.497,1.02134,0,0,0.056234
0.499,1.04372,0,0,0.056234
0.501,1.08648,0,0,0.056234
0.503,1.16534,0,0,0.056234
0.505,1.30571,0,0,0.056234
0.507,1.54715,0,0,0.056234
0.509,1.94861,0,0,0.056234
0.511,2.59432,0,0,0.056234
0.513,3.59939,0,0,0.056234
0.515,5.11403,0,0,0.056234
0.517,7.32494,0,0,0.056234
0.519,10.452,0,0,0.056234
0.521,14.7388,0,0,0.056234
0.523,20.4368,0,0,0.056234
0.525,27.7818,0,0,0.056234
0.527,36.9665,0,0,0.056234
0.529,48.1098,0,0,0.056234
0.531,61.2295,0,0,0.056234
0.533,76.2213,0,0,0.056234
0.535,92.85,0,0,0.056234
0.537,110.755,0,0,0.056234
0.539,129.472,0,0,0.056234
0.541,148.468,0,0,0.056234
0.543,167.185,0,0,0.056234
0.545,185.09,0,0,0.056234
0.547,201.718,0,0,0.056234
0.549,216.71,0,0,0.056234
0.551,229.83,0,0,0.056234
0.553,240.973,0,0,0.056234
0.555,250.158,0,0,0.056234
0.557,257.503,0,0,0.056234
0.559,263.201,0,0,0.056234
0.561,267.488,0,0,0.056234
0.563,270.615,0,0,0.056234
0.565,272.826,0,0,0.056234
0.567,274.34,0,0,0.056234
0.569,275.345,0,0,0.056234
0.571,275.991,0,0,0.056234
