[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,172 | Profiles:   = "UserData:Profiles\"
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:27,622 | Module Handle 0000027590520000 fusiongraphics
[0x00005314] | UI.GLContext         | INFO  | 2020-07-21 12:29:27,851 | Creating shared OpenGL context for this thread (3 total).
[0x00005314] | UI.GLIO              | INFO  | 2020-07-21 12:29:27,920 | OpenGL I/O worker thread ready.
[0x000026b4] | UI.GLIO              | INFO  | 2020-07-21 12:29:27,921 | OpenGL I/O setup done.
[0x00005170] | UI.GLContext         | INFO  | 2020-07-21 12:29:27,921 | Creating shared OpenGL context for this thread (4 total).
[0x00005170] | UI.Scopes            | INFO  | 2020-07-21 12:29:27,988 | Initialized GPU Scopes Manager on device 'GeForce GTX 1060'
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:28,221 | Failed to find value '0' in combo-box
[0x000026b4] | DbCommon2            | INFO  | 2020-07-21 12:29:28,600 | Sm2SysIdEntry is not supported in disk database (xml) mode
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:29,719 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:29,732 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | UI.ActionManager     | WARN  | 2020-07-21 12:29:29,958 | Action [fairlightAutomationFollowsEdit] is not a global action
[0x00002bc8] | SyManager            | WARN  | 2020-07-21 12:29:30,627 | socket failed to connect to server, error: 10061

[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:30,874 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:30,893 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:31,285 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | UI                   | WARN  | 2020-07-21 12:29:31,306 | Failed to load media metadata preset list or the list is empty.
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,342 | Module Handle 000002758DD50000 fusionsystem
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,389 | Module Handle 000002759C4B0000 fusionoperators
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,431 | Module Handle 00000275952D0000 fusioncontrols
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,483 | Module Handle 0000027595500000 3d.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,517 | Module Handle 000002759DD20000 alembic.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,547 | Module Handle 0000027593AA0000 dimension.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,636 | Module Handle 000002759E040000 fbx.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,656 | Module Handle 000002753C8A0000 fuses.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,682 | Module Handle 00000275957B0000 opencolorio.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,705 | Module Handle 0000027567E70000 openfx.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,736 | Module Handle 000002755EF60000 openvr.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,761 | Module Handle 00000275958A0000 paint.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,790 | Module Handle 000002759EC10000 particles.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,817 | Module Handle 000002759ECF0000 text.plugin
[0x000026b4] | Fusion               | INFO  | 2020-07-21 12:29:31,840 | Module Handle 000002756BA30000 utilities.plugin
[0x00002c40] | Undefined            | INFO  | 2020-07-21 12:34:02,862 | --------------------------------------------------------------------------------
[0x00002c40] | Undefined            | INFO  | 2020-07-21 12:34:02,862 | Loaded log config from C:\Users\Roussel\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x00002c40] | Undefined            | INFO  | 2020-07-21 12:34:02,862 | --------------------------------------------------------------------------------
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:02,865 | Running DaVinci Resolve v16.2.3.015 (Windows/MSVC)
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,491 | Updating display GPU information...
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,507 | Found correct name from registry for device : I, provider Intel Corporation
[0x00002c40] | Main                 | INFO  | 2020-07-21 12:34:03,507 | Found Intel Device: Intel(R) HD Graphics 530
