t, E_left, E_center, E_right, E_exact_left, E_exact_center, E_exact_right
0.00508244,136.763,135.138,133.747,0,0,0
0.005099,136.764,135.141,133.748,0,0,0
0.00511555,136.765,135.144,133.749,0,0,0
0.00513211,136.765,135.147,133.75,0,0,0
0.00514866,136.766,135.149,133.751,0,0,0
0.00516522,136.767,135.152,133.752,0,0,0
0.00518177,136.767,135.155,133.753,0,0,0
0.00519833,136.768,135.157,133.754,0,0,0
0.00521488,136.768,135.16,133.755,0,0,0
0.00523144,136.769,135.163,133.757,0,0,0
0.00524799,136.77,135.165,133.758,0,0,0
0.00526455,136.77,135.168,133.759,0,0,0
0.0052811,136.771,135.171,133.76,0,0,0
0.00529766,136.772,135.174,133.761,0,0,0
0.00531421,136.772,135.176,133.762,0,0,0
0.00533077,136.773,135.179,133.763,0,0,0
0.00534732,136.774,135.182,133.764,0,0,0
0.00536388,136.774,135.184,133.765,0,0,0
0.00538043,136.775,135.187,133.766,0,0,0
0.00539699,136.776,135.189,133.768,0,0,0
0.00541355,136.776,135.192,133.769,0,0,0
0.0054301,136.777,135.195,133.77,0,0,0
0.00544666,136.778,135.197,133.771,0,0,0
0.00546321,136.778,135.2,133.772,0,0,0
0.00547977,136.779,135.203,133.773,0,0,0
0.00549632,136.78,135.205,133.774,0,0,0
0.00551288,136.78,135.208,133.775,0,0,0
0.00552943,136.781,135.21,133.776,0,0,0
0.00554599,136.782,135.213,133.778,0,0,0
0.00556254,136.782,135.215,133.779,0,0,0
0.0055791,136.783,135.218,133.78,0,0,0
0.00559565,136.783,135.221,133.781,0,0,0
0.00561221,136.784,135.223,133.782,0,0,0
0.00562876,136.785,135.226,133.783,0,0,0
0.00564532,136.785,135.228,133.784,0,0,0
0.00566187,136.786,135.231,133.786,0,0,0
0.00567843,136.787,135.233,133.787,0,0,0
0.00569498,136.787,135.236,133.788,0,0,0
0.00571154,136.788,135.238,133.789,0,0,0
0.00572809,136.788,135.241,133.79,0,0,0
0.00574465,136.789,135.243,133.791,0,0,0
0.0057612,136.79,135.246,133.793,0,0,0
0.00577776,136.79,135.248,133.794,0,0,0
0.00579431,136.791,135.251,133.795,0,0,0
0.00581087,136.791,135.253,133.796,0,0,0
0.00582742,136.792,135.256,133.797,0,0,0
0.00584398,136.793,135.258,133.798,0,0,0
0.00586054,136.793,135.261,133.8,0,0,0
0.00587709,136.794,135.263,133.801,0,0,0
0.00589365,136.794,135.265,133.802,0,0,0
0.0059102,136.795,135.268,133.803,0,0,0
