x,E_0, E,E_exact
0.797,8.575,16.6013,0
0.799,8.575,16.6008,0
0.801,8.575,16.6003,0
0.803,8.575,16.5998,0
0.805,8.575,16.5993,0
0.807,8.575,16.5987,0
0.809,8.575,16.5982,0
0.811,8.575,16.5977,0
0.813,8.575,16.5972,0
0.815,8.575,16.5967,0
0.817,8.575,16.5961,0
0.819,8.575,16.5956,0
0.821,8.575,16.5951,0
0.823,8.575,16.5946,0
0.825,8.575,16.5941,0
0.827,8.575,16.5936,0
0.829,8.575,16.593,0
0.831,8.575,16.5925,0
0.833,8.575,16.592,0
0.835,8.575,16.5915,0
0.837,8.575,16.591,0
0.839,8.575,16.5904,0
0.841,8.575,16.5899,0
0.843,8.575,16.5894,0
0.845,8.575,16.5889,0
0.847,8.575,16.5884,0
0.849,8.575,16.5878,0
0.851,8.575,16.5873,0
0.853,8.575,16.5868,0
0.855,8.575,16.5863,0
0.857,8.575,16.5858,0
0.859,8.575,16.5852,0
0.861,8.575,16.5847,0
0.863,8.575,16.5842,0
0.865,8.575,16.5837,0
0.867,8.575,16.5832,0
0.869,8.575,16.5827,0
0.871,8.575,16.5821,0
0.873,8.575,16.5816,0
0.875,8.575,16.5811,0
0.877,8.575,16.5806,0
0.879,8.575,16.5801,0
0.881,8.575,16.5796,0
0.883,8.575,16.579,0
0.885,8.575,16.5785,0
0.887,8.575,16.578,0
0.889,8.575,16.5775,0
0.891,8.575,16.577,0
0.893,8.575,16.5765,0
0.895,8.575,16.5759,0
0.897,8.575,16.5754,0
0.899,8.575,16.5749,0
0.901,8.575,16.5744,0
0.903,8.575,16.5739,0
0.905,8.575,16.5734,0
0.907,8.575,16.5729,0
0.909,8.575,16.5723,0
0.911,8.575,16.5718,0
0.913,8.575,16.5713,0
0.915,8.575,16.5708,0
0.917,8.575,16.5703,0
0.919,8.575,16.5697,0
0.921,8.575,16.5692,0
0.923,8.575,16.5687,0
0.925,8.575,16.5682,0
0.927,8.575,16.5677,0
0.929,8.575,16.5672,0
0.931,8.575,16.5667,0
0.933,8.575,16.5662,0
0.935,8.575,16.5656,0
0.937,8.575,16.5651,0
0.939,8.575,16.5646,0
0.941,8.575,16.5641,0
0.943,8.575,16.5636,0
0.945,8.575,16.5631,0
0.947,8.575,16.5625,0
0.949,8.575,16.562,0
0.951,8.575,16.5615,0
0.953,8.575,16.561,0
0.955,8.575,16.5605,0
0.957,8.575,16.56,0
0.959,8.575,16.5595,0
0.961,8.575,16.559,0
0.963,8.575,16.5585,0
0.965,8.575,16.5579,0
0.967,8.575,16.5574,0
0.969,8.575,16.5569,0
0.971,8.575,16.5564,0
0.973,8.575,16.5559,0
0.975,8.575,16.5554,0
0.977,8.575,16.5548,0
0.979,8.575,16.5543,0
0.981,8.575,16.5538,0
0.983,8.575,16.5533,0
0.985,8.575,16.5528,0
0.987,8.575,16.5523,0
0.989,8.575,16.5517,0
0.991,8.575,16.5512,0
0.993,8.575,16.5507,0
0.995,8.575,16.5502,0
0.997,8.575,16.5497,0
0.999,8.575,16.5491,0
