x,T_radiation,T_matter
0.659,4.96161,4.96075
0.661,4.96432,4.96338
0.663,4.967,4.966
0.665,4.96967,4.96861
0.667,4.97229,4.97119
0.669,4.97487,4.97372
0.671,4.97739,4.97621
0.673,4.97985,4.97865
0.675,4.98223,4.98102
0.677,4.98454,4.98331
0.679,4.98676,4.98553
0.681,4.98889,4.98766
0.683,4.99093,4.98971
0.685,4.99287,4.99167
0.687,4.99471,4.99353
0.689,4.99645,4.99529
0.691,4.99809,4.99695
0.693,4.99962,4.99851
0.695,5.00105,4.99998
0.697,5.00238,5.00134
0.699,5.0036,5.00259
0.701,5.00472,5.00375
0.703,5.00574,5.00481
0.705,5.00666,5.00578
0.707,5.00749,5.00664
0.709,5.00822,5.00742
0.711,5.00886,5.0081
0.713,5.00941,5.00869
0.715,5.00988,5.00921
0.717,5.01027,5.00963
0.719,5.01058,5.00999
0.721,5.01081,5.01026
0.723,5.01098,5.01047
0.725,5.01109,5.01062
0.727,5.01114,5.01071
0.729,5.01114,5.01074
0.731,5.0111,5.01073
0.733,5.01102,5.01069
0.735,5.01091,5.01061
0.737,5.01079,5.01052
0.739,5.01065,5.01041
0.741,5.01051,5.01029
0.743,5.01037,5.01018
0.745,5.01024,5.01007
0.747,5.01012,5.00997
0.749,5.01002,5.00988
0.751,5.00993,5.00981
0.753,5.00985,5.00975
0.755,5.00982,5.0097
0.757,5.00981,5.00966
0.759,5.00951,5.00962
0.761,5.00961,5.00959
0.763,5.00935,5.00956
0.765,5.0095,5.00952
0.767,5.00914,5.00948
0.769,5.00934,5.00944
0.771,5.00912,5.00938
0.773,5.00907,5.00932
0.775,5.00902,5.00925
0.777,5.0089,5.00917
0.779,5.00876,5.00907
0.781,5.00881,5.00897
0.783,5.00868,5.00886
0.785,5.00818,5.00874
0.787,5.00839,5.00861
0.789,5.0081,5.00847
0.791,5.00793,5.00832
0.793,5.00789,5.00816
0.795,5.0074,5.008
0.797,5.00766,5.00782
0.799,5.00716,5.00764
0.801,5.00695,5.00746
0.803,5.00691,5.00726
0.805,5.00688,5.00707
0.807,5.00648,5.00686
0.809,5.00645,5.00665
0.811,5.00584,5.00644
0.813,5.00601,5.00622
0.815,5.00578,5.00599
0.817,5.00512,5.00577
0.819,5.00531,5.00553
0.821,5.00464,5.0053
0.823,5.00462,5.00507
0.825,5.00459,5.00483
0.827,5.0039,5.00459
0.829,5.00411,5.00435
0.831,5.00341,5.00411
0.833,5.00317,5.00387
0.835,5.00315,5.00363
0.837,5.00268,5.00339
0.839,5.0029,5.00314
0.841,5.0022,5.00291
0.843,5.00197,5.00267
0.845,5.00219,5.00243
0.847,5.0015,5.0022
0.849,5.0015,5.00197
0.851,5.00128,5.00174
0.853,5.00128,5.00152
0.855,5.00084,5.0013
0.857,5.00085,5.00108
0.859,5.00022,5.00087
0.861,5.00023,5.00066
0.863,5.00023,5.00046
0.865,4.99965,5.00026
0.867,4.99947,5.00007
0.869,4.99949,4.99988
0.871,4.99931,4.9997
0.873,4.99933,4.99953
0.875,4.99867,4.99936
0.877,4.99869,4.99921
0.879,4.99871,4.99905
0.881,4.99873,4.99891
0.883,4.99818,4.99877
0.885,4.9982,4.99864
0.887,4.99823,4.99852
0.889,4.99826,4.99841
0.891,4.99804,4.9983
0.893,4.99807,4.99821
0.895,4.99773,4.99812
0.897,4.99775,4.99804
0.899,4.99745,4.99797
0.901,4.99766,4.99791
0.903,4.99792,4.99786
0.905,4.99795,4.99781
