t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0.00116548,28.5739,8.67983,8.575,8.575
0.00117211,28.5739,8.68044,8.575,8.575
0.00117873,28.5739,8.68102,8.575,8.575
0.00118535,28.5739,8.68163,8.575,8.575
0.00119197,28.5739,8.68222,8.575,8.575
0.0011986,28.5739,8.68282,8.575,8.575
0.00120522,28.5739,8.6834,8.575,8.575
0.00121184,28.5739,8.68401,8.575,8.575
0.00121846,28.5739,8.68459,8.575,8.575
0.00122508,28.5739,8.68519,8.575,8.575
0.00123171,28.5739,8.68578,8.575,8.575
0.00123833,28.5739,8.68638,8.575,8.575
0.00124495,28.5739,8.68696,8.575,8.575
0.00125157,28.5739,8.68757,8.575,8.575
0.00125819,28.5739,8.68815,8.575,8.575
0.00126482,28.5739,8.68875,8.575,8.575
0.00127144,28.5739,8.68933,8.575,8.575
0.00127806,28.5739,8.68994,8.575,8.575
0.00128468,28.5739,8.69052,8.575,8.575
0.0012913,28.5739,8.69112,8.575,8.575
0.00129793,28.5739,8.69171,8.575,8.575
0.00130455,28.5739,8.69231,8.575,8.575
0.00131117,28.5739,8.69289,8.575,8.575
0.00131779,28.5739,8.69349,8.575,8.575
0.00132441,28.5739,8.69407,8.575,8.575
0.00133104,28.5739,8.69467,8.575,8.575
0.00133766,28.5739,8.69526,8.575,8.575
0.00134428,28.5739,8.69586,8.575,8.575
0.0013509,28.5739,8.69644,8.575,8.575
0.00135753,28.5739,8.69704,8.575,8.575
0.00136415,28.5739,8.69762,8.575,8.575
0.00137077,28.5739,8.69822,8.575,8.575
0.00137739,28.5739,8.6988,8.575,8.575
0.00138401,28.5739,8.6994,8.575,8.575
0.00139064,28.5739,8.69999,8.575,8.575
0.00139726,28.5739,8.70059,8.575,8.575
0.00140388,28.5739,8.70117,8.575,8.575
0.0014105,28.5739,8.70177,8.575,8.575
0.00141712,28.5739,8.70235,8.575,8.575
0.00142375,28.5739,8.70295,8.575,8.575
0.00143037,28.5739,8.70354,8.575,8.575
0.00143699,28.5739,8.70413,8.575,8.575
0.00144361,28.5739,8.70472,8.575,8.575
0.00145023,28.5739,8.70531,8.575,8.575
0.00145686,28.5739,8.7059,8.575,8.575
0.00146348,28.5739,8.7065,8.575,8.575
0.0014701,28.5739,8.70708,8.575,8.575
0.00147672,28.5739,8.70768,8.575,8.575
0.00148334,28.5739,8.70826,8.575,8.575
0.00148997,28.5739,8.70886,8.575,8.575
0.00149659,28.5739,8.70944,8.575,8.575
0.00150321,28.5739,8.71004,8.575,8.575
0.00150983,28.5739,8.71062,8.575,8.575
0.00151645,28.5739,8.71122,8.575,8.575
0.00152308,28.5739,8.7118,8.575,8.575
0.0015297,28.5739,8.71239,8.575,8.575
0.00153632,28.5739,8.71298,8.575,8.575
0.00154294,28.5739,8.71357,8.575,8.575
0.00154957,28.5739,8.71416,8.575,8.575
0.00155619,28.5739,8.71475,8.575,8.575
0.00156281,28.5739,8.71533,8.575,8.575
0.00156943,28.5739,8.71593,8.575,8.575
0.00157605,28.5739,8.71651,8.575,8.575
0.00158268,28.5739,8.7171,8.575,8.575
0.0015893,28.5739,8.71769,8.575,8.575
0.00159592,28.5739,8.71828,8.575,8.575
0.00160254,28.5739,8.71887,8.575,8.575
0.00160916,28.5739,8.71946,8.575,8.575
0.00161579,28.5739,8.72004,8.575,8.575
0.00162241,28.5739,8.72063,8.575,8.575
0.00162903,28.5739,8.72122,8.575,8.575
0.00163565,28.5739,8.72181,8.575,8.575
0.00164227,28.5739,8.72239,8.575,8.575
0.0016489,28.5739,8.72298,8.575,8.575
0.00165552,28.5739,8.72357,8.575,8.575
0.00166214,28.5739,8.72416,8.575,8.575
0.00166876,28.5739,8.72474,8.575,8.575
0.00167538,28.5739,8.72533,8.575,8.575
0.00168201,28.5739,8.72592,8.575,8.575
0.00168863,28.5739,8.72651,8.575,8.575
0.00169525,28.5739,8.72709,8.575,8.575
0.00170187,28.5739,8.72768,8.575,8.575
0.00170849,28.5739,8.72827,8.575,8.575
0.00171512,28.5739,8.72886,8.575,8.575
0.00172174,28.5739,8.72944,8.575,8.575
0.00172836,28.5739,8.73003,8.575,8.575
0.00173498,28.5739,8.73062,8.575,8.575
0.00174161,28.5739,8.73121,8.575,8.575
0.00174823,28.5739,8.73179,8.575,8.575
0.00175485,28.5739,8.73238,8.575,8.575
0.00176147,28.5739,8.73296,8.575,8.575
0.00176809,28.5739,8.73355,8.575,8.575
0.00177472,28.5739,8.73414,8.575,8.575
0.00178134,28.5739,8.73472,8.575,8.575
0.00178796,28.5739,8.73531,8.575,8.575
0.00179458,28.5739,8.7359,8.575,8.575
0.0018012,28.5739,8.73648,8.575,8.575
0.00180783,28.5739,8.73707,8.575,8.575
0.00181445,28.5739,8.73766,8.575,8.575
0.00182107,28.5739,8.73825,8.575,8.575
0.00182769,28.5739,8.73883,8.575,8.575
0.00183431,28.5739,8.73942,8.575,8.575
0.00184094,28.5739,8.74,8.575,8.575
0.00184756,28.5739,8.74059,8.575,8.575
0.00185418,28.5739,8.74117,8.575,8.575
0.0018608,28.5739,8.74176,8.575,8.575
0.00186742,28.5739,8.74235,8.575,8.575
0.00187405,28.5739,8.74293,8.575,8.575
0.00188067,28.5739,8.74352,8.575,8.575
0.00188729,28.5739,8.7441,8.575,8.575
0.00189391,28.5739,8.74468,8.575,8.575
0.00190054,28.5739,8.74527,8.575,8.575
0.00190716,28.5739,8.74585,8.575,8.575
0.00191378,28.5739,8.74644,8.575,8.575
0.0019204,28.5739,8.74702,8.575,8.575
0.00192702,28.5739,8.74761,8.575,8.575
0.00193365,28.5739,8.74819,8.575,8.575
0.00194027,28.5739,8.74878,8.575,8.575
0.00194689,28.5739,8.74937,8.575,8.575
0.00195351,28.5739,8.74996,8.575,8.575
0.00196013,28.5739,8.75055,8.575,8.575
0.00196676,28.5739,8.75114,8.575,8.575
0.00197338,28.5739,8.75174,8.575,8.575
0.00198,28.5739,8.75233,8.575,8.575
0.00198662,28.5739,8.75292,8.575,8.575
0.00199324,28.5739,8.75351,8.575,8.575
0.00199987,28.5739,8.7541,8.575,8.575
0.00200649,28.5739,8.75469,8.575,8.575
0.00201311,28.5739,8.75528,8.575,8.575
0.00201973,28.5739,8.75587,8.575,8.575
0.00202635,28.5739,8.75646,8.575,8.575
0.00203298,28.5739,8.75705,8.575,8.575
0.0020396,28.5739,8.75764,8.575,8.575
0.00204622,28.5739,8.75823,8.575,8.575
0.00205284,28.5739,8.75881,8.575,8.575
0.00205946,28.5739,8.7594,8.575,8.575
0.00206609,28.5739,8.75999,8.575,8.575
0.00207271,28.5739,8.76058,8.575,8.575
0.00207933,28.5739,8.76117,8.575,8.575
0.00208595,28.5739,8.76175,8.575,8.575
0.00209258,28.5739,8.76234,8.575,8.575
0.0020992,28.5739,8.76293,8.575,8.575
0.00210582,28.5739,8.76352,8.575,8.575
0.00211244,28.5739,8.76411,8.575,8.575
0.00211906,28.5739,8.76469,8.575,8.575
0.00212569,28.5739,8.76528,8.575,8.575
0.00213231,28.5739,8.76587,8.575,8.575
0.00213893,28.5739,8.76646,8.575,8.575
0.00214555,28.5739,8.76704,8.575,8.575
0.00215217,28.5739,8.76763,8.575,8.575
