x,E_0,F_0,E+F,E-F
0.459,8.575,0,9.09921,8.63372
0.461,8.575,0,9.15875,8.63263
0.463,8.575,0,9.21646,8.63151
0.465,8.575,0,9.27227,8.63036
0.467,8.575,0,9.32612,8.6292
0.469,8.575,0,9.37794,8.62801
0.471,8.575,0,9.42766,8.62682
0.473,8.575,0,9.47524,8.62561
0.475,8.575,0,9.52061,8.62441
0.477,8.575,0,9.56375,8.6232
0.479,8.575,0,9.6046,8.622
0.481,8.575,0,9.64313,8.62081
0.483,8.575,0,9.67931,8.61964
0.485,8.575,0,9.71311,8.61847
0.487,8.575,0,9.7445,8.61734
0.489,8.575,0,9.77348,8.61622
0.491,8.575,0,9.80001,8.61514
0.493,8.575,0,9.8241,8.61408
0.495,8.575,0,9.84574,8.61306
0.497,8.575,0,9.86491,8.61209
0.499,8.575,0,9.88164,8.61115
0.501,8.575,0,9.89591,8.61025
0.503,8.575,0,9.90775,8.60941
0.505,8.575,0,9.91715,8.60861
0.507,8.575,0,9.92415,8.60786
0.509,8.575,0,9.92873,8.60717
0.511,8.575,0,9.93095,8.60654
0.513,8.575,0,9.93084,8.60596
0.515,8.575,0,9.92843,8.60544
0.517,8.575,0,9.92373,8.60499
0.519,8.575,0,9.91676,8.60459
0.521,8.575,0,9.90757,8.60426
0.523,8.575,0,9.89618,8.60399
0.525,8.575,0,9.88267,8.60379
0.527,8.575,0,9.86708,8.60365
0.529,8.575,0,9.84946,8.60358
0.531,8.575,0,9.82984,8.60357
0.533,8.575,0,9.80829,8.60363
0.535,8.575,0,9.78484,8.60375
0.537,8.575,0,9.75957,8.60394
0.539,8.575,0,9.73252,8.60419
0.541,8.575,0,9.70376,8.6045
0.543,8.575,0,9.67335,8.60488
0.545,8.575,0,9.64135,8.60531
0.547,8.575,0,9.60782,8.60581
0.549,8.575,0,9.57284,8.60635
0.551,8.575,0,9.53646,8.60696
0.553,8.575,0,9.49876,8.60761
0.555,8.575,0,9.45981,8.60832
0.557,8.575,0,9.41967,8.60907
0.559,8.575,0,9.37843,8.60987
0.561,8.575,0,9.33615,8.61071
0.563,8.575,0,9.2929,8.61158
0.565,8.575,0,9.24878,8.6125
0.567,8.575,0,9.20384,8.61345
0.569,8.575,0,9.15817,8.61442
0.571,8.575,0,9.11185,8.61542
0.573,8.575,0,9.06495,8.61645
0.575,8.575,0,9.01755,8.61749
0.577,8.575,0,8.96974,8.61855
0.579,8.575,0,8.92158,8.61961
0.581,8.575,0,8.87317,8.62069
0.583,8.575,0,8.82459,8.62176
0.585,8.575,0,8.77591,8.62283
0.587,8.575,0,8.72721,8.6239
0.589,8.575,0,8.67859,8.62496
0.591,8.575,0,8.63011,8.626
0.593,8.575,0,8.58186,8.62702
0.595,8.575,0,8.53392,8.62802
0.597,8.575,0,8.48638,8.62899
0.599,8.575,0,8.43931,8.62993
0.601,8.575,0,8.39278,8.63083
0.603,8.575,0,8.34689,8.63169
0.605,8.575,0,8.30171,8.6325
0.607,8.575,0,8.25732,8.63326
0.609,8.575,0,8.21379,8.63396
0.611,8.575,0,8.17121,8.63462
0.613,8.575,0,8.12964,8.6352
0.615,8.575,0,8.08916,8.63572
0.617,8.575,0,8.04984,8.63617
0.619,8.575,0,8.01175,8.63654
0.621,8.575,0,7.97496,8.63684
0.623,8.575,0,7.93954,8.63705
0.625,8.575,0,7.90555,8.63718
0.627,8.575,0,7.87305,8.63722
0.629,8.575,0,7.8421,8.63717
0.631,8.575,0,7.81276,8.63702
0.633,8.575,0,7.78508,8.63678
0.635,8.575,0,7.75912,8.63644
0.637,8.575,0,7.73491,8.636
0.639,8.575,0,7.71251,8.63545
0.641,8.575,0,7.69195,8.6348
0.643,8.575,0,7.67327,8.63404
0.645,8.575,0,7.6565,8.63317
0.647,8.575,0,7.64167,8.6322
0.649,8.575,0,7.62879,8.63112
0.651,8.575,0,7.6179,8.62993
0.653,8.575,0,7.609,8.62862
0.655,8.575,0,7.6021,8.62721
0.657,8.575,0,7.59722,8.62569
0.659,8.575,0,7.59434,8.62406
0.661,8.575,0,7.59347,8.62233
0.663,8.575,0,7.5946,8.62049
0.665,8.575,0,7.59767,8.61855
0.667,8.575,0,7.60268,8.61651
0.669,8.575,0,7.60962,8.61437
0.671,8.575,0,7.61845,8.61214
0.673,8.575,0,7.62915,8.60982
0.675,8.575,0,7.64167,8.60741
0.677,8.575,0,7.65596,8.60492
0.679,8.575,0,7.67197,8.60235
0.681,8.575,0,7.68965,8.59971
0.683,8.575,0,7.70894,8.597
0.685,8.575,0,7.72978,8.59422
0.687,8.575,0,7.75211,8.59139
0.689,8.575,0,7.77586,8.58851
0.691,8.575,0,7.80096,8.58558
0.693,8.575,0,7.82733,8.58262
0.695,8.575,0,7.85491,8.57962
0.697,8.575,0,7.88361,8.5766
0.699,8.575,0,7.91336,8.57356
0.701,8.575,0,7.94408,8.57051
0.703,8.575,0,7.97568,8.56746
0.705,8.575,0,8.0081,8.56441
0.707,8.575,0,8.04124,8.56138
0.709,8.575,0,8.07502,8.55836
0.711,8.575,0,8.10937,8.55538
0.713,8.575,0,8.1442,8.55244
0.715,8.575,0,8.17943,8.54954
0.717,8.575,0,8.21499,8.54669
0.719,8.575,0,8.25079,8.5439
0.721,8.575,0,8.28676,8.54119
0.723,8.575,0,8.32282,8.53855
0.725,8.575,0,8.3589,8.53599
0.727,8.575,0,8.39492,8.53353
0.729,8.575,0,8.43082,8.53117
0.731,8.575,0,8.46653,8.52891
0.733,8.575,0,8.50198,8.52677
0.735,8.575,0,8.5371,8.52476
0.737,8.575,0,8.57184,8.52287
0.739,8.575,0,8.60613,8.52111
0.741,8.575,0,8.63991,8.5195
0.743,8.575,0,8.67314,8.51803
