t,E_left,E_right,E_exact_left,E_exact_right
0.00313886,10.3737,8.575,0,0
0.00314548,10.447,8.575,0,0
0.00315211,10.5172,8.575,0,0
0.00315873,10.5841,8.575,0,0
0.00316535,10.6476,8.575,0,0
0.00317197,10.7076,8.575,0,0
0.0031786,10.764,8.575,0,0
0.00318522,10.8167,8.575,0,0
0.00319184,10.8657,8.575,0,0
0.00319846,10.9107,8.575,0,0
0.00320508,10.9518,8.575,0,0
0.00321171,10.9888,8.575,0,0
0.00321833,11.0218,8.575,0,0
0.00322495,11.0506,8.575,0,0
0.00323157,11.0752,8.575,0,0
0.00323819,11.0955,8.575,0,0
0.00324482,11.1116,8.575,0,0
0.00325144,11.1233,8.575,0,0
0.00325806,11.1308,8.575,0,0
0.00326468,11.1338,8.575,0,0
0.0032713,11.1325,8.575,0,0
0.00327793,11.1269,8.575,0,0
0.00328455,11.1169,8.575,0,0
0.00329117,11.1026,8.575,0,0
0.00329779,11.084,8.575,0,0
0.00330441,11.0611,8.575,0,0
0.00331104,11.034,8.575,0,0
0.00331766,11.0027,8.575,0,0
0.00332428,10.9672,8.575,0,0
0.0033309,10.9277,8.575,0,0
0.00333753,10.8841,8.57502,0,0
0.00334415,10.8367,8.57505,0,0
0.00335077,10.7854,8.57513,0,0
0.00335739,10.7303,8.57528,0,0
0.00336401,10.6715,8.57553,0,0
0.00337064,10.6092,8.57591,0,0
0.00337726,10.5434,8.57643,0,0
0.00338388,10.4743,8.57709,0,0
0.0033905,10.402,8.57789,0,0
0.00339712,10.3265,8.5788,0,0
0.00340375,10.2481,8.57984,0,0
0.00341037,10.1668,8.58095,0,0
0.00341699,10.0829,8.58213,0,0
0.00342361,9.9964,8.58336,0,0
0.00343023,9.9075,8.58464,0,0
0.00343686,9.81636,8.58596,0,0
0.00344348,9.72314,8.58731,0,0
0.0034501,9.62799,8.58869,0,0
0.00345672,9.53109,8.5901,0,0
0.00346334,9.43259,8.59153,0,0
0.00346997,9.33268,8.59298,0,0
0.00347659,9.23152,8.59444,0,0
0.00348321,9.12929,8.59592,0,0
0.00348983,9.02617,8.59741,0,0
0.00349645,8.92234,8.59891,0,0
0.00350308,8.81797,8.60041,0,0
0.0035097,8.71326,8.60192,0,0
0.00351632,8.60838,8.60343,0,0
0.00352294,8.50352,8.60494,0,0
0.00352957,8.39885,8.60644,0,0
0.00353619,8.29457,8.60793,0,0
0.00354281,8.19084,8.60942,0,0
0.00354943,8.08786,8.61089,0,0
0.00355605,7.98579,8.61235,0,0
0.00356268,7.88483,8.61379,0,0
0.0035693,7.78514,8.61521,0,0
0.00357592,7.6869,8.61661,0,0
0.00358254,7.59028,8.61799,0,0
0.00358916,7.49545,8.61934,0,0
0.00359579,7.40256,8.62065,0,0
0.00360241,7.31179,8.62194,0,0
0.00360903,7.22329,8.6232,0,0
0.00361565,7.13722,8.62442,0,0
0.00362227,7.05371,8.6256,0,0
0.0036289,6.97293,8.62674,0,0
0.00363552,6.895,8.62785,0,0
0.00364214,6.82007,8.6289,0,0
0.00364876,6.74826,8.62992,0,0
0.00365538,6.67969,8.63088,0,0
0.00366201,6.6145,8.63181,0,0
0.00366863,6.55277,8.63267,0,0
0.00367525,6.49463,8.63348,0,0
0.00368187,6.44018,8.63425,0,0
0.00368849,6.3895,8.63495,0,0
0.00369512,6.34269,8.63561,0,0
0.00370174,6.29982,8.63621,0,0
0.00370836,6.26097,8.63673,0,0
0.00371498,6.2262,8.63721,0,0
0.00372161,6.19557,8.63762,0,0
0.00372823,6.16914,8.63797,0,0
0.00373485,6.14694,8.63826,0,0
0.00374147,6.12902,8.63849,0,0
0.00374809,6.11541,8.63865,0,0
0.00375472,6.10612,8.63874,0,0
0.00376134,6.10117,8.63877,0,0
0.00376796,6.10058,8.63873,0,0
0.00377458,6.10433,8.63863,0,0
0.0037812,6.11242,8.63846,0,0
0.00378783,6.12484,8.63822,0,0
0.00379445,6.14156,8.63791,0,0
